full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,da_dt,SNR,FAccept
153201 (2000 WO107),20153201.0,1,1,0.911,0.781,7.77,0.2,1.62,318.0,1.13,313.0,19.3,0.51,0.129,5.022,-0.00235278,5.56417,0
412983 (1996 FO3),20412983.0,1,1,1.44,0.29,5.81,1.02,1.86,632.0,0.569,72.4,20.16,,,,-0.00319114,5.54787,1
478784 (2012 UV136),20478784.0,1,0,1.01,0.14,2.1,0.868,1.15,370.0,0.973,245.0,25.6,,,,-0.00391848,5.54197,1
741081 (2005 LW3),20741081.0,1,1,1.44,0.464,6.02,0.772,2.11,630.0,0.571,293.0,21.67,,,3.6,-0.00340604,5.52599,1
153814 (2001 WN5),20153814.0,1,1,1.71,0.467,1.92,0.912,2.51,818.0,0.44,287.0,18.28,0.932,0.097,4.253,0.00448789,5.5043,0
4688 (1980 WF),20004688.0,1,0,2.23,0.518,6.37,1.08,3.39,1220.0,0.295,163.0,19.6,0.6,0.18,,-0.00136175,5.46809,1
192559 (1998 VO),20192559.0,1,1,1.07,0.227,10.1,0.831,1.32,407.0,0.884,176.0,20.43,,,,-0.00157392,5.44673,1
410777 (2009 FD),20410777.0,1,0,1.16,0.493,3.12,0.59,1.74,459.0,0.785,50.4,22.18,0.472,0.01,4.0,0.00383728,5.42046,1
199145 (2005 YY128),20199145.0,1,1,1.65,0.732,3.77,0.441,2.86,773.0,0.466,87.7,18.3,,,15.59,0.00698316,5.39937,0
251732 (1998 HG49),20251732.0,1,0,1.2,0.113,4.19,1.07,1.34,480.0,0.749,188.0,21.76,,,,-0.00372337,5.37816,1
(2003 GQ22),3152317.0,1,1,0.872,0.181,17.0,0.714,1.03,298.0,1.21,105.0,21.34,,,,0.00459633,5.33756,1
29075 (1950 DA),20029075.0,1,1,1.7,0.508,12.2,0.837,2.56,809.0,0.445,41.3,17.28,1.3,0.07,2.1216,-0.000272929,5.33516,1
(2012 HN13),3602837.0,1,0,1.41,0.308,4.07,0.974,1.84,611.0,0.59,7.88,22.96,,,,-0.00414045,5.29098,1
(2010 FX9),3512704.0,1,0,1.13,0.367,3.77,0.716,1.55,440.0,0.819,64.8,24.06,0.03,0.425,,-0.010992,5.27901,1
(2005 TG50),3293922.0,1,0,0.923,0.135,2.39,0.798,1.05,324.0,1.11,75.2,24.83,,,,-0.0103111,5.27728,0
526798 (2007 AA9),20526798.0,1,0,0.858,0.42,6.8,0.497,1.22,290.0,1.24,5.44,22.58,,,,-0.00596005,5.25181,1
(2005 EY169),3274304.0,1,0,1.31,0.233,20.9,1.0,1.61,546.0,0.66,274.0,22.29,,,,-0.00500398,5.19918,1
612050 (1997 GL3),20612050.0,1,1,2.27,0.784,6.68,0.49,4.05,1250.0,0.288,139.0,19.14,,,7.572,-0.00229874,5.18034,1
(2008 BP16),3401191.0,1,0,0.829,0.65,29.2,0.29,1.37,276.0,1.31,120.0,21.81,,,,-0.00645744,5.16229,1
2063 Bacchus (1977 HB),20002063.0,1,0,1.08,0.349,9.43,0.701,1.45,409.0,0.881,235.0,17.21,1.024,0.203,14.904,-0.000559025,5.16036,1
(2017 BM123),3768609.0,1,0,1.31,0.297,7.83,0.922,1.7,549.0,0.656,265.0,23.81,,,2.1503,-0.00336603,5.14535,1
(2002 EW8),3117430.0,1,0,1.85,0.46,11.4,0.998,2.7,917.0,0.393,168.0,23.84,,,,0.00682734,5.13103,1
(2015 LA2),3720924.0,1,0,0.883,0.281,7.71,0.635,1.13,303.0,1.19,14.5,23.01,,,,-0.00529849,5.09828,1
204131 (2003 YL),20204131.0,1,0,1.15,0.632,5.65,0.421,1.87,448.0,0.803,8.47,19.94,,,10.27,-0.00307441,5.08971,1
(2002 GD10),3120896.0,1,0,1.22,0.131,19.2,1.06,1.38,490.0,0.734,222.0,22.71,,,0.7356,-0.010164,5.08566,1
(2008 WT62),3440396.0,1,0,0.884,0.354,18.2,0.571,1.2,304.0,1.19,33.9,23.11,,,,-0.0160259,5.07122,1
(2014 US7),3693721.0,1,0,0.859,0.273,9.86,0.624,1.09,291.0,1.24,83.6,26.6,,,,-0.269982,5.06687,0
(2013 BA74),3625704.0,1,0,1.75,0.445,5.22,0.975,2.53,849.0,0.424,171.0,25.4,,,,0.0307249,5.0607,0
19356 (1997 GH3),20019356.0,1,0,2.51,0.558,3.01,1.11,3.91,1450.0,0.248,93.2,17.0,0.91,0.34,6.714,-0.00758236,5.05905,0
433 Eros (A898 PA),20000433.0,1,0,1.46,0.223,10.8,1.13,1.78,643.0,0.56,311.0,10.38,16.84,0.25,5.27,-7.25751e-05,5.05658,0
152828 (1999 VT25),20152828.0,1,1,1.16,0.523,5.15,0.554,1.77,458.0,0.787,208.0,21.26,,,,0.00378427,5.0332,1
457662 (2009 DZ),20457662.0,1,1,1.45,0.302,14.1,1.01,1.89,640.0,0.562,214.0,22.0,,,,-0.00316727,4.96787,1
375505 (2008 UN90),20375505.0,1,0,1.4,0.126,17.5,1.23,1.58,608.0,0.592,121.0,20.2,,,,0.00436965,4.96595,0
154007 (2002 BY),20154007.0,1,0,1.82,0.347,2.73,1.19,2.45,895.0,0.402,190.0,18.12,,,14.91,0.00482685,4.96211,0
152667 (1998 FR11),20152667.0,1,0,2.81,0.708,6.68,0.821,4.79,1720.0,0.21,293.0,16.43,,,,0.011287,4.94714,0
267759 (2003 MC7),20267759.0,1,0,1.37,0.184,21.2,1.12,1.63,588.0,0.612,5.44,18.91,,,,-0.00114383,4.94589,0
(2011 GE3),3561029.0,1,0,0.815,0.293,6.24,0.576,1.05,268.0,1.34,120.0,25.88,,,,-0.0995559,4.93592,0
308635 (2005 YU55),20308635.0,1,1,1.16,0.43,0.34,0.659,1.65,454.0,0.792,146.0,21.91,0.4,,18.0,-0.00804651,4.93481,0
138404 (2000 HA24),20138404.0,1,1,1.14,0.319,2.16,0.776,1.5,444.0,0.811,104.0,19.39,,,3.9077,0.00100342,4.9162,1
455184 (2000 ED14),20455184.0,1,1,0.835,0.567,13.8,0.362,1.31,279.0,1.29,159.0,21.23,,,,0.00424945,4.88856,1
3908 Nyx (1980 PA),20003908.0,1,0,1.93,0.459,2.19,1.04,2.81,978.0,0.368,313.0,17.45,1.0,0.23,4.42601,0.000549214,4.88357,1
234341 (2001 FZ57),20234341.0,1,0,0.944,0.604,20.7,0.374,1.51,335.0,1.07,166.0,18.93,0.344,0.493,,-0.00229986,4.87044,1
380818 (2005 YV128),20380818.0,1,0,0.923,0.512,14.1,0.45,1.4,324.0,1.11,235.0,20.67,,,,0.00294636,4.86503,1
329437 (2002 OA22),20329437.0,1,1,0.936,0.243,6.9,0.708,1.16,331.0,1.09,51.3,19.41,,,2.6214,0.00084132,4.8627,1
230111 (2001 BE10),20230111.0,1,1,0.823,0.369,17.5,0.519,1.13,273.0,1.32,210.0,19.27,,0.253,4.194,-0.00129859,4.81635,1
483459 (2002 EM6),20483459.0,1,0,1.16,0.141,31.8,0.996,1.32,456.0,0.789,239.0,20.32,,,,0.00178062,4.81593,1
437841 (1998 HD14),20437841.0,1,1,0.963,0.313,7.81,0.662,1.26,345.0,1.04,151.0,21.0,,,,-0.00224686,4.79394,1
413577 (2005 UL5),20413577.0,1,1,0.936,0.57,14.3,0.403,1.47,331.0,1.09,313.0,20.34,,,3.4591,-0.00351423,4.79219,1
523801 (1993 TQ2),20523801.0,1,0,1.99,0.419,6.04,1.15,2.82,1020.0,0.352,145.0,20.02,,,,0.00150013,4.7638,1
397326 (2006 TC1),20397326.0,1,0,1.72,0.375,4.49,1.08,2.37,824.0,0.437,104.0,19.09,,,,0.000976105,4.7504,0
491007 (2011 GL62),20491007.0,1,0,1.14,0.707,15.7,0.334,1.95,444.0,0.81,55.5,19.54,,,,-0.00429255,4.74651,0
446924 (2002 VV17),20446924.0,1,0,0.838,0.437,9.7,0.472,1.2,280.0,1.29,250.0,20.21,,,,-0.00195452,4.73226,1
403775 (2011 HS4),20403775.0,1,1,0.938,0.68,5.46,0.3,1.58,332.0,1.08,101.0,20.9,,,,-0.00766914,4.724,0
136582 (1992 BA),20136582.0,1,0,1.34,0.068,10.5,1.25,1.43,568.0,0.634,157.0,19.87,,,,-0.0019563,4.67997,1
4015 Wilson-Harrington (1979 VA),20004015.0,1,1,2.63,0.631,2.8,0.969,4.28,1550.0,0.232,274.0,16.19,4.0,0.05,3.5736,-0.000997098,4.67531,0
4947 Ninkasi (1988 TJ1),20004947.0,1,0,1.37,0.168,15.7,1.14,1.6,586.0,0.615,30.4,18.09,,,21.1,-0.00116192,4.64083,1
612027 (1995 FJ),20612027.0,1,0,1.09,0.27,25.0,0.792,1.38,413.0,0.872,298.0,20.68,,,9.2,0.00214639,4.63483,1
267337 (2001 VK5),20267337.0,1,1,1.27,0.514,19.4,0.617,1.92,522.0,0.689,341.0,18.05,0.439,0.578,39.05,-0.00306215,4.61302,1
457059 (2008 EG),20457059.0,1,0,0.943,0.739,26.8,0.246,1.64,334.0,1.08,34.2,20.05,,,,-0.0189474,4.57824,0
(2017 XO2),3791291.0,1,0,1.13,0.365,14.5,0.72,1.55,441.0,0.817,289.0,22.49,,,,-0.00448764,4.55173,1
469445 (2002 LT24),20469445.0,1,0,0.72,0.496,0.766,0.363,1.08,223.0,1.61,302.0,22.14,0.143,0.136,,-0.0045936,4.55163,1
613398 (2006 FK),20613398.0,1,0,0.923,0.343,14.6,0.606,1.24,324.0,1.11,223.0,21.25,,,,0.00356887,4.54999,1
162117 (1998 SD15),20162117.0,1,0,0.933,0.345,26.8,0.611,1.25,329.0,1.09,165.0,19.04,,,7.33,-0.000854653,4.53103,1
523828 (1992 BC),20523828.0,1,0,1.42,0.352,14.3,0.921,1.92,619.0,0.581,305.0,19.96,,,,-0.00267666,4.52077,1
(2010 WF3),3552574.0,1,0,1.08,0.268,10.8,0.788,1.36,408.0,0.883,10.2,21.0,,,,-0.00392824,4.51303,1
417816 (2007 FA),20417816.0,1,1,1.25,0.266,16.3,0.918,1.58,510.0,0.705,54.3,20.27,,,,-0.00169163,4.49476,1
(2006 BE55),3314045.0,1,1,1.2,0.424,2.4,0.688,1.7,477.0,0.754,347.0,21.98,,,5.61,-0.00608118,4.48805,1
358453 (2007 EH88),20358453.0,1,0,1.12,0.441,12.1,0.627,1.62,435.0,0.828,115.0,19.83,,,,-0.00396724,4.4587,0
(2020 PP1),54050999.0,1,0,1.01,0.0701,5.98,0.936,1.08,369.0,0.976,220.0,26.68,,,,-0.00246072,4.43164,1
376879 (2001 WW1),20376879.0,1,0,1.21,0.122,21.7,1.06,1.36,486.0,0.741,332.0,22.35,,,,0.0129447,4.41913,1
(2002 QQ40),3134259.0,1,1,1.21,0.564,1.72,0.53,1.9,489.0,0.736,68.4,21.48,,,,-0.000934467,4.40221,0
26310 (1998 TX6),20026310.0,1,0,2.14,0.47,5.38,1.13,3.14,1140.0,0.315,270.0,19.28,,,,-0.00200459,4.39638,1
474179 (1999 VS6),20474179.0,1,0,1.2,0.223,28.0,0.93,1.46,479.0,0.752,250.0,19.08,,,15.88,-0.000199546,4.37364,1
1685 Toro (1948 OA),20001685.0,1,0,1.37,0.436,9.38,0.771,1.96,584.0,0.616,82.7,14.28,3.4,0.31,10.1995,0.00567254,4.36047,1
511684 (2015 BN509),20511684.0,1,1,1.01,0.568,4.16,0.435,1.58,369.0,0.976,196.0,20.78,0.315,0.093,5.6713,0.00169306,4.35835,1
65717 (1993 BX3),20065717.0,1,1,1.4,0.281,2.81,1.0,1.79,602.0,0.598,344.0,20.87,,,20.33,-0.178023,4.35362,0
613014 (2005 QS10),20613014.0,1,0,2.42,0.479,15.8,1.26,3.58,1370.0,0.262,124.0,18.82,,,2.82,-0.00449894,4.35195,1
(2007 AM),3365921.0,1,0,0.799,0.467,11.7,0.426,1.17,261.0,1.38,344.0,21.82,,,,-0.00158462,4.32617,1
612227 (2001 QC34),20612227.0,1,1,1.13,0.188,6.24,0.917,1.34,438.0,0.822,301.0,20.18,,,,-0.00609389,4.3102,1
613714 (2007 DL41),20613714.0,1,1,1.46,0.476,4.67,0.763,2.15,643.0,0.56,150.0,20.82,,,,0.00961571,4.30896,1
(2000 QV7),3046125.0,1,1,1.41,0.523,9.12,0.672,2.15,611.0,0.59,73.2,21.55,,,,-0.986975,4.30505,0
(2020 QA7),54053756.0,1,0,2.72,0.528,8.11,1.28,4.15,1640.0,0.22,52.0,20.13,,,,-0.000195064,4.28813,1
2100 Ra-Shalom (1978 RA),20002100.0,1,0,0.832,0.436,15.8,0.469,1.2,277.0,1.3,249.0,16.24,2.3,0.13,19.797,-0.00378447,4.28719,1
162783 (2000 YJ11),20162783.0,1,1,1.31,0.232,7.26,1.01,1.62,550.0,0.655,229.0,20.91,,,,-0.00415458,4.27487,0
474158 (1999 FA),20474158.0,1,1,1.08,0.133,12.0,0.935,1.22,409.0,0.88,357.0,20.71,,,10.092,0.0407832,4.27427,0
(2021 QH2),54190788.0,1,0,1.0,0.285,10.3,0.718,1.29,368.0,0.979,332.0,25.05,,,,0.00200808,4.26446,1
277810 (2006 FV35),20277810.0,1,0,1.0,0.377,7.1,0.623,1.38,366.0,0.984,76.7,21.72,,,,-0.000955976,4.26419,1
377097 (2002 WQ4),20377097.0,1,1,1.96,0.556,3.94,0.868,3.04,1000.0,0.36,105.0,19.71,,,36.0,-0.0115701,4.24639,1
(2010 WT8),3552653.0,1,0,1.15,0.284,4.54,0.825,1.48,451.0,0.798,252.0,22.02,,,,0.00425406,4.22584,1
(2005 MF5),3283218.0,1,0,0.804,0.382,29.5,0.497,1.11,263.0,1.37,299.0,21.73,,,,-0.00185076,4.22534,0
65679 (1989 UQ),20065679.0,1,1,0.915,0.265,1.3,0.673,1.16,320.0,1.13,287.0,19.62,0.918,0.033,7.746,-0.00498116,4.22153,1
177016 (2003 BM47),20177016.0,1,0,1.16,0.582,13.8,0.485,1.84,456.0,0.789,345.0,19.95,,,,0.00386304,4.21808,1
592968 (2015 FV118),20592968.0,1,0,0.858,0.584,6.24,0.357,1.36,290.0,1.24,356.0,21.68,,,,-0.00103103,4.21335,1
37655 Illapa (1994 PM),20037655.0,1,1,1.48,0.752,18.0,0.366,2.59,656.0,0.549,114.0,17.85,,,2.6556,-1.06699,4.20747,0
(2017 GQ5),3773834.0,1,0,1.25,0.754,37.7,0.307,2.19,510.0,0.706,352.0,20.48,,,,-0.00374735,4.20128,1
337084 (1998 SE36),20337084.0,1,0,1.34,0.0991,11.7,1.21,1.47,567.0,0.634,303.0,19.76,,,11.855,-0.0024672,4.19808,1
(2008 KV2),3412755.0,1,1,0.85,0.412,5.04,0.5,1.2,286.0,1.26,322.0,21.26,,,0.038,-0.000463758,4.19593,1
4769 Castalia (1989 PB),20004769.0,1,1,1.06,0.483,8.89,0.549,1.58,400.0,0.899,324.0,17.4,1.4,0.092,4.095,-0.00735291,4.16961,1
(2016 JE),3752703.0,1,0,0.822,0.472,16.7,0.434,1.21,272.0,1.32,99.7,21.94,,,,-0.00119179,4.16458,1
483422 (2000 CE59),20483422.0,1,1,1.14,0.167,12.3,0.948,1.33,443.0,0.812,341.0,20.53,,,3.623,-0.00764359,4.12927,1
(2014 QH33),3682466.0,1,0,1.08,0.185,2.83,0.884,1.28,412.0,0.873,50.9,24.44,,,,-0.00250649,4.11141,1
(2009 MW),3463371.0,1,0,0.913,0.299,21.0,0.64,1.19,319.0,1.13,69.4,20.86,,,,-0.00227772,4.08226,1
203471 (2002 AU4),20203471.0,1,0,0.855,0.374,17.2,0.536,1.17,289.0,1.25,233.0,19.45,,,13.26,-0.00472721,4.07169,1
(2002 VU114),3143095.0,1,0,1.18,0.286,2.77,0.843,1.52,468.0,0.768,277.0,22.8,,,,-0.00463471,4.05741,1
325102 (2008 EY5),20325102.0,1,0,0.626,0.627,5.11,0.234,1.02,181.0,1.99,47.7,20.17,0.361,0.124,,-0.000214483,4.05024,1
85774 (1998 UT18),20085774.0,1,1,1.4,0.329,13.6,0.941,1.86,607.0,0.593,55.9,19.09,0.939,0.042,55.0,0.00764079,4.03909,1
(2011 EZ40),3559737.0,1,0,1.72,0.443,24.2,0.959,2.48,825.0,0.436,147.0,20.9,,,,-0.00149163,4.03347,1
413260 (2003 TL4),20413260.0,1,1,0.777,0.381,12.2,0.48,1.07,250.0,1.44,330.0,19.57,,,27.2,-0.0104861,4.03112,0
483560 (2004 BV1),20483560.0,1,1,1.46,0.368,12.2,0.925,2.0,646.0,0.557,240.0,19.27,,,5.8124,-0.0020335,4.02055,1
612103 (1999 SK10),20612103.0,1,0,1.76,0.442,6.96,0.985,2.54,856.0,0.421,18.0,19.84,,,,-0.00208436,4.01049,1
497113 (2004 EK1),20497113.0,1,0,1.25,0.251,11.6,0.936,1.56,510.0,0.706,228.0,22.29,,,,-0.0110906,4.00365,1
(2016 CA138),3743123.0,1,0,0.998,0.0494,27.7,0.949,1.05,364.0,0.988,133.0,23.31,,,5.3197,-0.00153938,3.97881,1
136564 (1977 VA),20136564.0,1,0,1.87,0.394,2.98,1.13,2.6,931.0,0.387,311.0,19.28,0.4,,,-0.00143439,3.9695,1
322756 (2001 CK32),20322756.0,1,0,0.724,0.383,8.14,0.447,1.0,225.0,1.6,187.0,19.23,,,4.166,-0.00351006,3.96114,1
523590 (2001 QC96),20523590.0,1,0,1.34,0.38,20.6,0.829,1.84,564.0,0.639,202.0,21.12,,,10.0,-0.0242982,3.94862,0
509102 (2005 VB7),20509102.0,1,0,1.8,0.348,32.6,1.17,2.43,883.0,0.408,75.4,19.46,,,,0.00403821,3.94028,1
(2005 XT77),3307228.0,1,1,0.841,0.266,17.2,0.617,1.07,282.0,1.28,167.0,21.42,,,,0.010806,3.93623,1
(2006 AL4),3311963.0,1,0,2.51,0.594,2.76,1.02,4.0,1450.0,0.248,347.0,24.92,,,,-0.00704345,3.92229,1
(2019 ER1),3838915.0,1,0,1.21,0.13,8.29,1.05,1.37,485.0,0.742,338.0,23.39,,,0.3324,-0.0271064,3.91689,0
525356 (2005 BG14),20525356.0,1,1,1.99,0.727,21.7,0.543,3.44,1030.0,0.35,165.0,18.74,,,,0.0139228,3.91097,0
376707 (1995 OO),20376707.0,1,0,2.16,0.779,23.5,0.477,3.83,1160.0,0.311,263.0,17.0,,,,-0.0274612,3.89261,1
(2016 CO246),3743897.0,1,0,0.995,0.126,6.29,0.869,1.12,362.0,0.993,193.0,25.8,,,,-0.00100885,3.88266,1
7350 (1993 VA),20007350.0,1,0,1.36,0.391,7.26,0.826,1.89,577.0,0.624,73.4,17.16,1.921,0.069,3.58264,-0.00191472,3.87684,0
6456 Golombek (1992 OM),20006456.0,1,0,2.19,0.409,8.22,1.3,3.09,1190.0,0.303,96.5,16.06,,,2.50129,0.00305533,3.86773,1
(1997 WQ23),3007574.0,1,1,1.74,0.495,2.45,0.878,2.6,836.0,0.43,107.0,20.88,,,14.6,-0.00315921,3.86735,1
164222 (2004 RN9),20164222.0,1,0,1.3,0.247,16.1,0.982,1.63,544.0,0.662,29.7,20.85,,,,0.0037058,3.86465,1
(2002 AY1),3102728.0,1,1,0.779,0.437,29.9,0.439,1.12,251.0,1.43,149.0,20.85,,,,-0.0125557,3.86057,1
(2016 AG193),3740496.0,1,0,1.31,0.197,28.8,1.05,1.57,548.0,0.657,225.0,23.5,,,,0.00414658,3.85498,1
614134 (2008 TC4),20614134.0,1,1,0.78,0.554,10.6,0.348,1.21,252.0,1.43,173.0,21.65,,,,-0.0037015,3.85297,1
513126 (1998 QP),20513126.0,1,1,1.79,0.583,9.35,0.745,2.83,872.0,0.413,131.0,21.71,,,,-0.00385613,3.84577,1
(2010 KP10),3523944.0,1,0,1.13,0.166,16.2,0.944,1.32,440.0,0.819,31.0,23.1,0.087,0.101,,-0.0030193,3.83233,1
(2003 MK4),3157028.0,1,1,1.08,0.181,22.3,0.885,1.28,410.0,0.877,249.0,20.86,,,,0.0303223,3.82674,0
612989 (2005 LW39),20612989.0,1,1,1.99,0.716,28.5,0.565,3.41,1020.0,0.352,122.0,20.01,,,,-0.00680138,3.82352,1
(2012 BA35),3596264.0,1,0,1.07,0.116,5.81,0.947,1.19,405.0,0.89,261.0,23.75,,,,0.00304339,3.82241,1
455415 (2003 GA),20455415.0,1,0,1.28,0.191,3.84,1.04,1.53,530.0,0.679,172.0,21.45,,,5.78,-0.00229327,3.81472,1
247517 (2002 QY6),20247517.0,1,0,0.817,0.699,12.8,0.246,1.39,270.0,1.33,342.0,19.62,0.269,0.357,,-0.00444056,3.8105,0
510190 (2011 CX7),20510190.0,1,0,1.3,0.323,10.5,0.88,1.72,541.0,0.666,204.0,20.46,,,,0.13719,3.80889,1
(2014 UV210),3699902.0,1,0,1.16,0.131,0.599,1.0,1.31,453.0,0.794,282.0,26.9,,,0.5559,-0.00279456,3.79835,1
351545 (2005 TE15),20351545.0,1,0,1.2,0.344,13.1,0.79,1.62,483.0,0.746,152.0,19.82,,,10.61,-0.00223337,3.79351,1
85770 (1998 UP1),20085770.0,1,0,0.998,0.345,33.2,0.653,1.34,364.0,0.989,153.0,20.72,,,,-0.00328273,3.78871,0
312942 (1995 EK1),20312942.0,1,0,2.26,0.777,9.08,0.504,4.02,1240.0,0.29,340.0,17.36,,,8.444,-1.07532,3.77851,0
(2010 VW75),3551068.0,1,0,2.72,0.601,1.1,1.08,4.35,1640.0,0.22,136.0,21.88,,,0.180062,-0.415769,3.77412,0
(2011 GP59),3562830.0,1,0,0.869,0.258,8.51,0.645,1.09,296.0,1.22,253.0,24.3,,,0.12251,-0.00291761,3.76421,1
(2003 YS17),3170204.0,1,1,0.93,0.313,6.53,0.639,1.22,328.0,1.1,40.1,21.6,,,,-0.00207711,3.73137,1
613286 (2005 YQ96),20613286.0,1,1,0.743,0.334,22.2,0.495,0.991,234.0,1.54,210.0,20.63,,,,-0.00141775,3.69663,1
307070 (2002 AV31),20307070.0,1,0,1.31,0.249,15.0,0.983,1.64,547.0,0.658,30.0,20.62,0.282,0.117,,-0.0107048,3.68834,0
494690 (2004 JQ1),20494690.0,1,1,1.19,0.45,32.8,0.656,1.73,476.0,0.756,111.0,20.1,,,,-0.012625,3.6855,1
(2022 UY),54316897.0,1,0,0.997,0.114,15.6,0.883,1.11,364.0,0.99,270.0,25.49,,,,-0.00195209,3.68199,1
533638 (2014 KT86),20533638.0,1,0,1.19,0.168,22.5,0.988,1.39,473.0,0.762,237.0,20.39,,,,-1.21627,3.67691,0
(2009 SV17),3467354.0,1,0,2.71,0.585,3.44,1.12,4.29,1630.0,0.221,201.0,19.61,,,17.34,0.0439002,3.66229,0
(2013 UG1),3652985.0,1,0,0.798,0.483,10.7,0.412,1.18,260.0,1.38,84.1,22.59,,,0.15558,0.00223292,3.66083,1
408982 (2002 SP),20408982.0,1,0,0.905,0.6,20.9,0.361,1.45,314.0,1.15,226.0,20.78,,,,-0.00630702,3.66038,0
469219 Kamo`oalewa (2016 HO3),20469219.0,1,0,1.0,0.102,7.8,0.899,1.1,366.0,0.984,46.2,24.31,,,0.467,-0.00982511,3.64897,0
276111 (2002 GM9),20276111.0,1,0,1.87,0.349,17.3,1.21,2.52,930.0,0.387,18.7,18.6,,,,-0.00113546,3.61937,1
152754 (1999 GS6),20152754.0,1,1,1.19,0.497,2.02,0.599,1.78,475.0,0.758,227.0,19.22,0.414,0.216,8.021,-0.00622597,3.61846,1
496901 (2001 HB),20496901.0,1,1,1.31,0.694,9.28,0.402,2.23,550.0,0.654,162.0,20.69,,,,-0.0047023,3.61793,1
(2017 BP32),3767259.0,1,0,1.31,0.21,23.7,1.04,1.59,549.0,0.655,303.0,23.38,,,,-0.00339757,3.61507,1
337252 (2000 SD8),20337252.0,1,0,1.13,0.314,6.55,0.775,1.48,438.0,0.822,84.4,20.82,,,,0.0112486,3.6131,1
425755 (2011 CP4),20425755.0,1,1,0.912,0.87,9.47,0.118,1.71,318.0,1.13,239.0,21.12,,,,0.69313,3.60504,0
(2016 UZ40),3761739.0,1,0,2.07,0.733,2.35,0.553,3.59,1090.0,0.33,354.0,23.4,,,,0.117624,3.5981,0
(2021 CP6),54117567.0,1,0,2.11,0.527,2.72,0.998,3.22,1120.0,0.322,173.0,22.9,,,,-0.01981,3.59581,0
(2005 RD34),3290809.0,1,0,1.33,0.265,19.9,0.975,1.68,558.0,0.645,131.0,20.43,,,,-0.00463988,3.57948,1
525484 (2005 GL),20525484.0,1,1,1.06,0.306,15.9,0.733,1.38,396.0,0.908,282.0,21.3,,,,0.00120416,3.57616,1
136818 Selqet (1997 MW1),20136818.0,1,0,0.938,0.346,12.8,0.613,1.26,332.0,1.09,269.0,18.98,,,,-0.00118956,3.5682,1
175729 (1998 BB10),20175729.0,1,1,1.27,0.425,11.5,0.732,1.81,524.0,0.688,196.0,20.44,,,,-0.00587357,3.56246,1
256004 (2006 UP),20256004.0,1,0,1.58,0.3,2.29,1.11,2.06,728.0,0.495,206.0,23.02,,,,-0.0013913,3.56084,1
401856 (2000 KW43),20401856.0,1,1,1.45,0.478,24.3,0.758,2.15,639.0,0.563,244.0,20.27,,,,-0.000886876,3.55391,1
6037 (1988 EG),20006037.0,1,1,1.27,0.5,3.51,0.636,1.91,524.0,0.687,165.0,18.86,,,2.7602,-0.0100046,3.5527,1
(2007 PB8),3381230.0,1,0,0.88,0.445,16.6,0.489,1.27,302.0,1.19,253.0,21.36,,,,-0.0112264,3.55015,1
(2008 BX2),3400310.0,1,0,0.857,0.341,3.14,0.565,1.15,290.0,1.24,306.0,23.6,,,,0.00859745,3.53588,0
(2003 DF16),3150196.0,1,0,1.78,0.437,26.3,1.0,2.56,870.0,0.414,224.0,20.05,,,,-0.00723424,3.53233,1
(2008 CE119),3402642.0,1,0,1.21,0.176,7.73,0.995,1.42,485.0,0.742,91.5,25.55,,,,-0.039454,3.51916,0
(2016 GE1),3748560.0,1,0,2.06,0.52,10.7,0.991,3.14,1080.0,0.333,79.8,26.7,,,0.009438,-0.00165889,3.50781,0
1864 Daedalus (1971 FA),20001864.0,1,0,1.46,0.614,22.2,0.563,2.36,645.0,0.558,258.0,14.84,3.7,0.273,8.572,-0.00545746,3.50705,1
847431 (1994 CJ1),20847431.0,1,1,1.49,0.325,2.31,1.01,1.98,664.0,0.542,113.0,21.51,,,30.0,-0.00247571,3.50617,1
390725 (2003 HB),20390725.0,1,1,0.85,0.38,18.1,0.527,1.17,286.0,1.26,131.0,19.69,0.293,0.271,,-0.00517787,3.50188,1
(2009 JR2),3459812.0,1,0,1.25,0.179,19.7,1.03,1.47,510.0,0.705,238.0,22.95,,,,-0.0133979,3.4818,1
(2012 XE133),3620867.0,1,0,0.723,0.433,6.73,0.41,1.04,225.0,1.6,205.0,23.3,,,,-0.00995281,3.46638,1
(2019 QG),3843572.0,1,1,0.822,0.239,12.6,0.626,1.02,272.0,1.32,323.0,21.38,,,,-0.00327198,3.45173,1
508772 (1998 WP7),20508772.0,1,0,1.23,0.433,22.0,0.695,1.76,495.0,0.727,29.1,19.85,,,,-0.00224858,3.44772,1
665390 (2009 HD82),20665390.0,1,0,1.25,0.477,5.8,0.656,1.85,513.0,0.702,228.0,21.69,,,,-0.00249517,3.442,0
(2016 GL2),3749032.0,1,0,1.45,0.265,14.9,1.07,1.84,639.0,0.564,197.0,23.67,,,,-0.00613243,3.43246,1
468727 (2010 JE87),20468727.0,1,1,0.904,0.437,16.9,0.509,1.3,314.0,1.15,293.0,20.77,0.308,0.108,,0.00168172,3.42456,1
344074 (1997 UH9),20344074.0,1,0,0.83,0.475,25.5,0.436,1.22,276.0,1.3,209.0,19.01,,,,0.00188803,3.42436,1
163348 (2002 NN4),20163348.0,1,1,0.876,0.435,5.42,0.495,1.26,299.0,1.2,329.0,20.05,0.735,0.03,14.5,-0.00228342,3.42099,1
